"capabilityId","module","capabilityName","historicalStatus","codePresent","runtimeBound","active","reachable","consumerCount","operable","independentlyVerified","finalStatus","severity","breakpoint","evidence","recommendedAction"
"CLI-0343D1BCB352","FRONTEND / UI ACTIVATION","@hukuk/web:type-check","IMPLEMENTED | MERGED","true","true","true","true","1","","false","OPERABLE_UNVERIFIED","NONE","","project/apps/web/package.json:scripts.type-check","ADD_REPRESENTATIVE_L6_VERIFICATION"
"CLI-03DDDCE2D411","SHARED PLATFORM / INFRASTRUCTURE","@hukuk/api:seed:client-workspace-live-smoke","IMPLEMENTED | MERGED","true","true","true","true","1","","false","OPERABLE_UNVERIFIED","NONE","","project/apps/api/package.json:scripts.seed:client-workspace-live-smoke","ADD_REPRESENTATIVE_L6_VERIFICATION"
"CLI-0C61E57E2CDD","SHARED PLATFORM / INFRASTRUCTURE","hukuk-platform:db:studio","CLOSED | IMPLEMENTED | MERGED","true","true","true","true","1","","false","OPERABLE_UNVERIFIED","NONE","","project/package.json:scripts.db:studio","ADD_REPRESENTATIVE_L6_VERIFICATION"
"CLI-13987990D92C","FRONTEND / UI ACTIVATION","@hukuk/web:start","IMPLEMENTED | MERGED","true","true","true","true","1","","false","OPERABLE_UNVERIFIED","NONE","","project/apps/web/package.json:scripts.start","ADD_REPRESENTATIVE_L6_VERIFICATION"
"CLI-13D3060C8110","SHARED PLATFORM / INFRASTRUCTURE","@hukuk/api:test:watch","IMPLEMENTED | MERGED","true","true","true","true","1","","false","OPERABLE_UNVERIFIED","NONE","","project/apps/api/package.json:scripts.test:watch","ADD_REPRESENTATIVE_L6_VERIFICATION"
"CLI-2DA40C06F8BD","GOVERNANCE / ORCHESTRATION","hukuk-platform:orch:verify-executors","CLOSED | IMPLEMENTED | MERGED","true","true","true","true","1","","false","OPERABLE_UNVERIFIED","NONE","","project/package.json:scripts.orch:verify-executors","ADD_REPRESENTATIVE_L6_VERIFICATION"
"CLI-38A87F9DBFD0","GOVERNANCE / ORCHESTRATION","hukuk-platform:orch:service","CLOSED | IMPLEMENTED | MERGED","true","true","true","true","1","","false","OPERABLE_UNVERIFIED","NONE","","project/package.json:scripts.orch:service","ADD_REPRESENTATIVE_L6_VERIFICATION"
"CLI-43EF0B16796E","GOVERNANCE / ORCHESTRATION","hukuk-platform:orch:run","CLOSED | IMPLEMENTED | MERGED","true","true","true","true","1","","false","OPERABLE_UNVERIFIED","NONE","","project/package.json:scripts.orch:run","ADD_REPRESENTATIVE_L6_VERIFICATION"
"CLI-4D5F2DEE529C","SHARED PLATFORM / INFRASTRUCTURE","@hukuk/api:db:seed","IMPLEMENTED | MERGED","true","true","true","true","1","","false","OPERABLE_UNVERIFIED","NONE","","project/apps/api/package.json:scripts.db:seed","ADD_REPRESENTATIVE_L6_VERIFICATION"
"CLI-55A2ADE6EE46","SHARED PLATFORM / INFRASTRUCTURE","@hukuk/api:db:migrate","IMPLEMENTED | MERGED","true","true","true","true","1","","false","OPERABLE_UNVERIFIED","NONE","","project/apps/api/package.json:scripts.db:migrate","ADD_REPRESENTATIVE_L6_VERIFICATION"
"CLI-562C5A953DD7","GOVERNANCE / ORCHESTRATION","hukuk-platform:orch:enqueue","CLOSED | IMPLEMENTED | MERGED","true","true","true","true","1","","false","OPERABLE_UNVERIFIED","NONE","","project/package.json:scripts.orch:enqueue","ADD_REPRESENTATIVE_L6_VERIFICATION"
"CLI-64A169CFB4F9","SHARED PLATFORM / INFRASTRUCTURE","@hukuk/api:seed:rates","IMPLEMENTED | MERGED","true","true","true","true","1","","false","OPERABLE_UNVERIFIED","NONE","","project/apps/api/package.json:scripts.seed:rates","ADD_REPRESENTATIVE_L6_VERIFICATION"
"CLI-6B4D63F14404","SHARED PLATFORM / INFRASTRUCTURE","@hukuk/api:dev","IMPLEMENTED | MERGED","true","true","true","true","1","","false","OPERABLE_UNVERIFIED","NONE","","project/apps/api/package.json:scripts.dev","ADD_REPRESENTATIVE_L6_VERIFICATION"
"CLI-755020D09F2E","SHARED PLATFORM / INFRASTRUCTURE","@hukuk/api:test:phase9c","IMPLEMENTED | MERGED","true","true","true","true","1","","false","OPERABLE_UNVERIFIED","NONE","","project/apps/api/package.json:scripts.test:phase9c","ADD_REPRESENTATIVE_L6_VERIFICATION"
"CLI-7F9783911686","SHARED PLATFORM / INFRASTRUCTURE","hukuk-platform:lint","CLOSED | IMPLEMENTED | MERGED","true","true","true","true","1","","false","OPERABLE_UNVERIFIED","NONE","","project/package.json:scripts.lint","ADD_REPRESENTATIVE_L6_VERIFICATION"
"CLI-8018B19E88FA","GOVERNANCE / ORCHESTRATION","hukuk-platform:orch:closeout","CLOSED | IMPLEMENTED | MERGED","true","true","true","true","1","","false","OPERABLE_UNVERIFIED","NONE","","project/package.json:scripts.orch:closeout","ADD_REPRESENTATIVE_L6_VERIFICATION"
"CLI-830AEBB8DDCC","SHARED PLATFORM / INFRASTRUCTURE","@hukuk/api:type-check","IMPLEMENTED | MERGED","true","true","true","true","1","","false","OPERABLE_UNVERIFIED","NONE","","project/apps/api/package.json:scripts.type-check","ADD_REPRESENTATIVE_L6_VERIFICATION"
"CLI-88141DA5450D","GOVERNANCE / ORCHESTRATION","hukuk-platform:verify:live","CLOSED | IMPLEMENTED | MERGED","true","true","true","true","1","","false","OPERABLE_UNVERIFIED","NONE","","project/package.json:scripts.verify:live","ADD_REPRESENTATIVE_L6_VERIFICATION"
"CLI-889C2695D065","SHARED PLATFORM / INFRASTRUCTURE","@hukuk/api:inventory:due-claimitem","IMPLEMENTED | MERGED","true","true","true","true","1","","false","OPERABLE_UNVERIFIED","NONE","","project/apps/api/package.json:scripts.inventory:due-claimitem","ADD_REPRESENTATIVE_L6_VERIFICATION"
"CLI-8AF7D9CD5152","SHARED PLATFORM / INFRASTRUCTURE","@hukuk/api:backfill:due-claimitem","IMPLEMENTED | MERGED","true","true","true","true","1","","false","OPERABLE_UNVERIFIED","NONE","","project/apps/api/package.json:scripts.backfill:due-claimitem","ADD_REPRESENTATIVE_L6_VERIFICATION"
"CLI-8E1BBC81BD0B","FRONTEND / UI ACTIVATION","@hukuk/web:smoke:client-workspace","IMPLEMENTED | MERGED","true","true","true","true","1","","false","OPERABLE_UNVERIFIED","NONE","","project/apps/web/package.json:scripts.smoke:client-workspace","ADD_REPRESENTATIVE_L6_VERIFICATION"
"CLI-8E2E5224540F","SHARED PLATFORM / INFRASTRUCTURE","@hukuk/api:lint","IMPLEMENTED | MERGED","true","true","true","true","1","","false","OPERABLE_UNVERIFIED","NONE","","project/apps/api/package.json:scripts.lint","ADD_REPRESENTATIVE_L6_VERIFICATION"
"CLI-8F24552F052F","SHARED PLATFORM / INFRASTRUCTURE","@hukuk/api:seed:client-timeline-smoke","IMPLEMENTED | MERGED","true","true","true","true","1","","false","OPERABLE_UNVERIFIED","NONE","","project/apps/api/package.json:scripts.seed:client-timeline-smoke","ADD_REPRESENTATIVE_L6_VERIFICATION"
"CLI-8FD156CC3674","SHARED PLATFORM / INFRASTRUCTURE","@hukuk/api:db:push","IMPLEMENTED | MERGED","true","true","true","true","1","","false","OPERABLE_UNVERIFIED","NONE","","project/apps/api/package.json:scripts.db:push","ADD_REPRESENTATIVE_L6_VERIFICATION"
"CLI-9001B0C17034","FRONTEND / UI ACTIVATION","@hukuk/web:lint","IMPLEMENTED | MERGED","true","true","true","true","1","","false","OPERABLE_UNVERIFIED","NONE","","project/apps/web/package.json:scripts.lint","ADD_REPRESENTATIVE_L6_VERIFICATION"
